FID,ID,SECCLASS,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,WEBSITE,NPI,ENT_TYPE,ORGAN_NAME,PROVID_11,PROVID_12,PROVID_20,PROVID_21,PROVID_22,PROVID_23,PROVID_24,PROVID_25,PROVID_26,PROVID_27,PROVID_36,LASTUP_37,HEALTH_47,PROVID_48,PROVID_49,HEALTH_51,PROVID_52,PROVID_53,HEALTH_55,PROVID_56,PROVID_57,HEALTH_59,PROVID_60,PROVID_61,HEALTH_63,PROVID_64,PROVID_65,HEALTH_67,PROVID_68,PROVID_69,HEALTH_71,PROVID_72,PROVID_73,HEALTH_75,PROVID_76,PROVID_77,HEALTH_79,PROVID_80,PROVID_81,HEALTH_83,PROVID_84,PROVID_85,HEALTH_87,PROVID_88,PROVID_89,HEALTH_91,PROVID_92,PROVID_93,HEALTH_95,PROVID_96,PROVID_97,HEALTH_99,PROVID_100,PROVID_101,HEALTH_103,PROVID_104,PROVID_105
1011,11652307,UNCLASSIFIED,CVS - 9691,530-742-3206,830 J STREET, ,MARYSVILLE,CA,95901,5231,YUBA,6115, , , , ,2010-07-08T00:00:00.000Z,PHONE,2010-07-08T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,105539698,-121.599587,39.143482,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.CVS.COM,1871536664,2,LONGS DRUG STORES CALIFORNIA LLC,CVS PHARMACY #09691,3,PO BOX 1075, ,WOONSOCKET,RI,28950803,US,4017651500,4017707108,06/13/2006,09/25/2009,333600000X, , ,3336C0003X,PHY49325,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1012,11705306,UNCLASSIFIED,2ND STREET PHARMACY,510-835-0774,465 2ND STREET, ,OAKLAND,CA,94607,3839,ALAMEDA,6001, , , , ,2010-07-02T00:00:00.000Z,PHONE,2010-07-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23632214,-122.276852,37.796049,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.MOMSPHARMACY.COM,1669661237,2,SPECIALTY PHARMACIES INC,2ND STREET PHARMACY,3,1660 WALT WHITMAN RD,SUITE 105,MELVILLE,NY,117474159,US,6315476520,6312495863,10/19/2007,10/19/2007,333600000X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1013,11674419,UNCLASSIFIED,WILLOW CREEK PHARMACY,530-629-3144,39050 HIGHWAY 299, ,WILLOW CREEK,CA,95573, ,HUMBOLDT,6023, , , , ,2010-07-09T00:00:00.000Z,PHONE,2010-07-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,91201417,-123.630514,40.938913,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS, ,1457464034,2,"DOUBLE B PHARMACEUTICALS, INC.",WILLOW CREEK PHARMACY,3,PO BOX 67, ,WILLOW CREEK,CA,955730067,US,5306293144,5306294303,08/16/2006,05-09-08,3336C0003X,PHY39588,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1014,11699596,UNCLASSIFIED,TRINITY HOSPITAL,530-623-5541,60 EASTER AVENUE, ,WEAVERVILLE,CA,96093, ,TRINITY,6105, , , , ,2010-07-09T00:00:00.000Z,ALT REF,2010-07-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,706692025,-122.939846,40.737934,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.MCMEDICAL.ORG,1336287200,2,MOUNTAIN COMMUNITIES HEALTHCARE DISTRICT,LONG TERM CARE PHARMACY,3,PO BOX 1229, ,WEAVERVILLE,CA,960931229,US,5306235541,5306236421,02-02-07,07/17/2007,3336L0003X,HPE36008,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1015,11708622,UNCLASSIFIED,VALLEY HEALTH CENTER - SUNNYVALE,408-992-4830,660 SOUTH FAIR OAKS AVENUE, ,SUNNYVALE,CA,94086,7913,SANTA CLARA,6085, , , , ,2010-07-09T00:00:00.000Z,PHONE,2010-07-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23732226,-122.023486,37.364851,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SCCGOV.ORG/PORTAL/SITE/VHP,1821241035,2,COUNTY OF SANTA CLARA,VALLEY HEALTH CENTER AT SUNNYVALE PHARMACY,3,751 S BASCOM AVE,BUILDING W,SAN JOSE,CA,951282604,US,4088852300,4088855822,10/31/2008,11-03-09,332B00000X, , ,3336C0002X,49155,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1016,11652060,UNCLASSIFIED,OMNICARE,530-224-3373,5200 CHURN CREEK ROAD,SUITE A,REDDING,CA,96002,3930,SHASTA,6089, , , , ,2010-07-12T00:00:00.000Z,PHONE,2010-07-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,105617981,-122.34725,40.53796,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.OMNICARE.COM,1922040740,2,"EVERGREEN PHARMACEUTICAL OF CALIFORNIA, INC.","OMNICARE REDDING, CA",3,100 E RIVERCENTER BLVD,SUITE 1600,COVINGTON,KY,410111555,US,8593923300, ,06/13/2006,09-03-09,3336I0012X, , ,3336L0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1017,11654439,UNCLASSIFIED,SAFEWAY,925-672-2107,5431 CLAYTON ROAD, ,CLAYTON,CA,94517,1039,CONTRA COSTA,6013, , , , ,2010-07-13T00:00:00.000Z,PHONE,2010-07-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,120882786,-121.953384,37.953821,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SAFEWAY.COM,1417983297,2,SAFEWAY INC,SAFEWAY PHARMACY #1195,3,20427 N 27TH AVE # MSC4551, ,PHOENIX,AZ,850273241,US, , ,06/24/2006,12-01-08,333600000X,PHY36191,CA,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1018,11685791,UNCLASSIFIED,COMMUNITY PHARMACY,541-388-7731,2500 NORTHEAST NEFF ROAD,SAINT CHARLES MEDICAL CENTER 1ST FLOOR,BEND,OR,97701, ,DESCHUTES,41017, , , , ,2010-07-13T00:00:00.000Z,ALT REF,2010-07-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,89857580,-121.268901,44.068258,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.STCHARLESHEALTHCARE.ORG,1407953805,2,CASCADE HEALTHCARE COMMUNITY,COMMUNITY PHARMACY AT ST. CHARLES MEDICAL CENTER,3,2500 NE NEFF RD, ,BEND,OR,977016015,US,5413887731,5413856320,09/20/2006,07-08-07,3336C0003X,RP0000901-CS,OR, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1019,11655386,UNCLASSIFIED,SAFEWAY,541-389-7184,320 SOUTHWEST CENTURY DRIVE, ,BEND,OR,97702,3037,DESCHUTES,41017, , , , ,2010-07-12T00:00:00.000Z,ALT REF,2010-07-15T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,776627898,-121.329525,44.047125,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SAFEWAY.COM,1003845058,2,SAFEWAY INC,SAFEWAY PHARMACY #1888,3,20427 N 27TH AVE # MSC4551, ,PHOENIX,AZ,850273241,US, , ,07-02-06,12-10-08,333600000X,2050,OR,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1020,11679037,UNCLASSIFIED,COSTCO,541-383-2199,2500 NORTHEAST HIGHWAY 20, ,BEND,OR,97701,6277,DESCHUTES,41017, , , , ,2010-07-12T00:00:00.000Z,ALT REF,2010-07-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,89857550,-121.267603,44.057645,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.COSTCO.COM,1881704401,2,COSTCO WHOLESALE CORPORATION,COSTCO PHARMACY,3,2500 NE HIGHWAY 20, ,BEND,OR,977016277,US, , ,08/30/2006,05-10-08,333600000X,1290,OR,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1021,11671546,UNCLASSIFIED,RITE AID - 5886,408-774-0134,2310 HOMESTEAD ROAD,FOOTHILL PLAZA,LOS ALTOS,CA,94024,7339,SANTA CLARA,6085, , , , ,2010-07-14T00:00:00.000Z,PHONE,2010-07-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,776737395,-122.067369,37.336427,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.RITEAID.COM,1649286931,2,THRIFTY PAYLESS INC,RITE AID PHARMACY 05886,3,200 NEWBERRY COMMONS, ,ETTERS,PA,173199363,US,7177612633,7179758659,07/31/2006,03-02-09,332B00000X, , ,3336C0003X,PHY42745,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1022,11663891,UNCLASSIFIED,WAL-MART SUPERCENTER - 5192,916-729-6236,5821 ANTELOPE ROAD, ,ANTELOPE,CA,95843, ,SACRAMENTO,6067, , , , ,2010-04-27T00:00:00.000Z,ALT REF,2010-04-27T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,24483017,-121.331827,38.704296,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1467470252,2,WAL-MART STORES INC,WALMART PHARMACY 105192,3,702 SW 8TH ST, ,BENTONVILLE,AR,727160445,US, , ,07/18/2006,03-12-09,332B00000X, , ,333600000X, , ,3336C0003X,47502,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1023,11661504,UNCLASSIFIED,WAL-MART - 1697,916-684-7104,8465 ELK GROVE BOULEVARD, ,ELK GROVE,CA,95758,9573,SACRAMENTO,6067, , , , ,2010-04-27T00:00:00.000Z,ALT REF,2010-04-27T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28401307,-121.391553,38.411798,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1023035441,2,WAL-MART PHARMACY INC WEST,WAL-MART PHARMACY,3,702 SW 8TH ST, ,BENTONVILLE,AR,727166209,US, , ,07/16/2006,01/29/2009,332B00000X, , ,333600000X, , ,3336C0003X,PHY37436,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1024,11654968,UNCLASSIFIED,SAFEWAY,916-691-3777,5021 LAGUNA BOULEVARD, ,ELK GROVE,CA,95758,5262,SACRAMENTO,6067, , , , ,2010-04-27T00:00:00.000Z,ALT REF,2010-04-27T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,24470939,-121.446563,38.424282,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.SAFEWAY.COM,1548299555,2,SAFEWAY INC,SAFEWAY PHARMACY #1647,3,20427 N 27TH AVE # MSC4551, ,PHOENIX,AZ,850273241,US, , ,07-02-06,12-08-08,333600000X,PHY44473,CA,3336C0003X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1025,11641380,UNCLASSIFIED,WAL-MART - 1881,916-332-4427,7901 WATT AVENUE, ,ANTELOPE,CA,95843,2000,SACRAMENTO,6067, , , , ,2010-04-27T00:00:00.000Z,ALT REF,2010-04-27T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,24451513,-121.394667,38.712747,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALMART.COM,1215954631,2,WAL-MART STORES INC,WAL-MART STORES INC,3,702 SW 8TH ST, ,BENTONVILLE,AR,727160445,US, , ,07/16/2006,04/30/2009,332B00000X, , ,333600000X, , ,3336C0003X,PHY38993,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1026,11707429,UNCLASSIFIED,TARGET,916-526-0302,5837 SUNRISE BOULEVARD, ,CITRUS HEIGHTS,CA,95610,6866,SACRAMENTO,6067, , , , ,2010-04-27T00:00:00.000Z,ALT REF,2010-04-27T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,762031830,-121.274726,38.672924,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.TARGET.COM,1083875330,2,TARGET CORPORATION AND SUBSIDIARIES,TARGET PHARMACY,3,1000 NICOLLET MALL # 0910, ,MINNEAPOLIS,MN,554032542,US, , ,06/19/2008,11/20/2008,332B00000X, , ,3336C0003X,PHY49120,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1027,11698004,UNCLASSIFIED,KAISER PERMANENTE SACRAMENTO MEDICAL CENTER PHARMACY,916-973-5000,2025 MORSE AVENUE, ,SACRAMENTO,CA,95825,2115,SACRAMENTO,6067, , , , ,2010-04-27T00:00:00.000Z,ALT REF,2010-04-28T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,127829780,-121.393044,38.602184,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTPS://WWW.KAISERPERMANENTE.ORG,1649328477,2,KAISER FOUNDATION HOSPITALS,KAISER FDN HSP INP GROUND FLR PHY,3,12254 BELLFLOWER BLVD FL 2,PHARMACY PROFESSIONAL AFFAIRS,DOWNEY,CA,902422804,US,5626583671,5626583712,01-08-07,09/29/2009,3336I0012X,HSP18106,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1028,11672008,UNCLASSIFIED,WALGREENS - 3185,415-543-9502,825 MARKET STREET, ,SAN FRANCISCO,CA,94103,1901,SAN FRANCISCO,6075, , , , ,2010-04-06T00:00:00.000Z,ALT REF,2010-04-12T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,28401556,-122.406392,37.785031,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1639185283,2,WALGREEN CO,WALGREENS #03185,3,1901 E VOORHEES ST,MS720,DANVILLE,IL,618344509,US,2175548964,2175548546,08-01-06,04/24/2008,3336C0003X, , ,332B00000X, , ,333600000X,PHY40773,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1029,11672007,UNCLASSIFIED,WALGREENS - 4529,415-355-0800,2145 MARKET STREET, ,SAN FRANCISCO,CA,94114,1321,SAN FRANCISCO,6075, , , , ,2010-04-06T00:00:00.000Z,ALT REF,2010-04-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PHARMACIES",446110,PHARMACIES,23610533,-122.429729,37.766539,NAVTEQ,2009Q4,ONENTITY,YES,TECHNIGRAPHICS,HTTP://WWW.WALGREENS.COM,1720094378,2,WALGREEN CO,WALGREENS #04529,3,1901 E VOORHEES ST,MS720,DANVILLE,IL,618344509,US,2175548964,2175548546,08-01-06,04/24/2008,3336C0003X, , ,332B00000X, , ,333600000X,PHY44203,CA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
